title,star,director,actor,date,img_src
인천스텔라,7.74,백승기,"손이용, 강소연, 정광우, 권수진",2021.03.25,https://movie-phinf.pstatic.net/20210318_281/1616043863160Y4nwt_JPEG/movie_image.jpg?type=m99_141_2
파이터,7.56,윤재호,"임성미, 백서빈, 오광록",2021.03.18,https://movie-phinf.pstatic.net/20210223_109/1614071286007hejv3_JPEG/movie_image.jpg?type=m99_141_2
죽은 시인의 사회,9.38,피터 위어,로빈 윌리엄스,2021.04.01,https://movie-phinf.pstatic.net/20210315_143/1615793538419tIM2B_JPEG/movie_image.jpg?type=m99_141_2
정말 먼 곳,8.41,박근영,"강길우, 홍경, 이상희, 기주봉, 기도영, 최금순, 김시하",2021.03.18,https://movie-phinf.pstatic.net/20210318_149/1616058935356uF5rW_JPEG/movie_image.jpg?type=m99_141_2
부활: 그 증거,9.34,김상철,"권오중, 이성혜, 이용규, 이어령, 천정은",2020.10.08,https://movie-phinf.pstatic.net/20200917_133/1600306215089RKFsD_JPEG/movie_image.jpg?type=m99_141_2
더 박스,9.04,양정웅,"찬열, 조달환",2021.03.24,https://movie-phinf.pstatic.net/20210315_37/1615794044458lhiGN_JPEG/movie_image.jpg?type=m99_141_2
부활,9.65,구수환,이태석,2021.03.26,https://movie-phinf.pstatic.net/20210319_228/1616116102230P9GPX_JPEG/movie_image.jpg?type=m99_141_2
러빙 빈센트,9.22,도로타 코비엘라,"더글러스 부스, 시얼샤 로넌, 제롬 플린, 에이단 터너",2021.03.17,https://movie-phinf.pstatic.net/20210304_7/16148427597050rJzf_JPEG/movie_image.jpg?type=m99_141_2
아이 씨 유,7.88,아담 랜달,"헬렌 헌트, 존 테니, 주다 루이스, 오웬 티그, 리베 바러, 그레고리 앨런 윌리엄스",2021.03.11,https://movie-phinf.pstatic.net/20210304_145/1614836377669TftlG_JPEG/movie_image.jpg?type=m99_141_2
빛과 철,8.28,배종대,"염혜란, 김시은, 박지후",2021.02.18,https://movie-phinf.pstatic.net/20210203_43/16123289905147UkNJ_JPEG/movie_image.jpg?type=m99_141_2
시 읽는 시간,9.25,이수정,"오하나, 김수덕, 안태형, 임재춘, 하마무",2021.03.25,https://movie-phinf.pstatic.net/20210323_121/1616465992978K3XLL_JPEG/movie_image.jpg?type=m99_141_2
반딧불이 딘딘과 용감한 곤충 탐험대,6.92,등위봉,None,2021.03.25,https://movie-phinf.pstatic.net/20210225_212/1614230200527IKqmQ_JPEG/movie_image.jpg?type=m99_141_2
