title,star,director,actor,date,img_src
지구 최후의 밤,7.48,비간,"탕웨이, 황각",2019.07.25,https://movie-phinf.pstatic.net/20190625_153/1561429790305jIoL8_JPEG/movie_image.jpg?type=m99_141_2
질투,7.23,필립 가렐,"루이스 가렐, 아나 무글라리스",2015.04.09,https://movie-phinf.pstatic.net/20150311_95/1426034858277jfRpr_JPEG/movie_image.jpg?type=m99_141_2
초록물고기,8.82,이창동,"한석규, 심혜진, 문성근",1997.02.07,https://movie-phinf.pstatic.net/20111223_77/1324577791037bQ1lC_JPEG/movie_image.jpg?type=m99_141_2
초속5센티미터,8.36,신카이 마코토,"미즈하시 켄지, 하나무라 사토미, 오노우에 아야카",2017.11.02,https://movie-phinf.pstatic.net/20191115_264/15737816336734R30z_JPEG/movie_image.jpg?type=m99_141_2
카페 소사이어티,7.69,우디 앨런,"제시 아이젠버그, 크리스틴 스튜어트, 블레이크 라이블리",2021.02.25,https://movie-phinf.pstatic.net/20160905_194/1473053493882el69E_JPEG/movie_image.jpg?type=m99_141_2
콜드 워,8.26,파벨 포리코브스키,"요안나 쿨릭, 토마즈 코트",2019.02.07,https://movie-phinf.pstatic.net/20190116_187/15476220698637Uv7t_JPEG/movie_image.jpg?type=m99_141_2
행복한 라짜로,8.66,알리체 로르와커,"아드리아노 타르디올로, 루카 치코바니",2019.06.20,https://movie-phinf.pstatic.net/20190530_66/15592076283949St3E_JPEG/movie_image.jpg?type=m99_141_2
허트 로커,8.44,캐서린 비글로우,"제레미 레너, 안소니 마키, 브라이언 게라그티, 크리스찬 카마고",2021.03.11,https://movie-phinf.pstatic.net/20210302_125/1614661968971XyIiF_JPEG/movie_image.jpg?type=m99_141_2
3개의 얼굴들,8.67,자파르 파나히,"베나즈 자파리, 자파르 파나히",2021.03.04,https://movie-phinf.pstatic.net/20200827_116/15984940709696r6FP_JPEG/movie_image.jpg?type=m99_141_2
건축학개론,8.67,이용주,"엄태웅, 한가인, 이제훈, 수지",2012.03.22,https://movie-phinf.pstatic.net/20120227_164/1330332687398PQ1U3_JPEG/movie_image.jpg?type=m99_141_2
늑대소년,8.66,조성희,"송중기, 박보영",2012.12.06,https://movie-phinf.pstatic.net/20121015_190/1350280084768nSVfX_JPEG/movie_image.jpg?type=m99_141_2
맹크,7.17,데이빗 핀처,"게리 올드만, 아만다 사이프리드, 릴리 콜린스, 알리스 하워드, 톰 펠프레이, 샘 트로튼, 퍼디난드 킹즐리, 튜펜스 미들턴, 톰 버크, 찰스 댄스, 조셉 크로스, 제이미 맥쉐인, 토비 레오나드 무어, 모니카 고스만, 레븐 램빈",2020.12.04,https://movie-phinf.pstatic.net/20201104_244/1604453688064YHNPF_JPEG/movie_image.jpg?type=m99_141_2
미드나이트 스카이,6.92,조지 클루니,"조지 클루니, 펠리시티 존스, 데이빗 오예로워, 카일 챈들러",2020.12.09,https://movie-phinf.pstatic.net/20201029_48/1603933692802GfEyT_JPEG/movie_image.jpg?type=m99_141_2
미스 사이공: 25주년 특별 공연,9.20,브렛 설리반,"알리스태어 브래머, 에바 노블자다, 홍광호, 존 존 브라이언스",2016.11.24,https://movie-phinf.pstatic.net/20161103_256/1478160313724rHuDS_JPEG/movie_image.jpg?type=m99_141_2
벌새,8.76,김보라,"박지후, 김새벽",2019.08.29,https://movie-phinf.pstatic.net/20190805_121/1564969695835Iq9Qc_JPEG/movie_image.jpg?type=m99_141_2
소공녀,8.79,전고운,"이솜, 안재홍",2018.03.22,https://movie-phinf.pstatic.net/20180306_274/1520300631041QOrJ2_JPEG/movie_image.jpg?type=m99_141_2
스왈로우,7.00,카를로 미라벨라 데이비스,"헤일리 베넷, 오스틴 스토웰",2021.04.01,https://movie-phinf.pstatic.net/20210326_82/16167501298307gjCS_JPEG/movie_image.jpg?type=m99_141_2
아가씨,7.14,박찬욱,"김민희, 김태리, 하정우, 조진웅",2016.06.01,https://movie-phinf.pstatic.net/20160523_204/14639851237601hEGQ_JPEG/movie_image.jpg?type=m99_141_2
테넷,8.17,크리스토퍼 놀란,"존 데이비드 워싱턴, 로버트 패틴슨, 엘리자베스 데비키",2020.08.26,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg?type=m99_141_2
파수꾼,9.19,윤성현,"이제훈, 서준영, 박정민, 조성하",2011.03.03,https://movie-phinf.pstatic.net/20111223_299/1324632673906KHPrP_JPEG/movie_image.jpg?type=m99_141_2
프라미싱 영 우먼,8.44,에머랄드 펜넬,캐리 멀리건,2021.02.24,https://movie-phinf.pstatic.net/20210208_83/1612747165478tIX9H_JPEG/movie_image.jpg?type=m99_141_2
